time,open,high,low,close,Fast EMA,Standard EMA,Slow EMA,SPX · TVC: close,MA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Short Period Moving Average,Long Period Moving Average,Plot,Shapes,Shapes,Volume,Volume MA,Histogram,MACD,Signal,OBV,Signal,Crossover,Crossunder,Basis,Upper Band,Lower Band,Upper Band,Lower Band,volume,MA,ATR,ATR,Plot,RoC & MA Cross Up,RoC & MA Cross Down,Basis,Rate of Change,Bull,Hidden Bull,Bear,Hidden Bear
1479133800,121.28,123.14,120.34,120.85,131.29800000000017,128.02866999999992,120.70716270386264,2181.9,129.12857142857123,129.745,131.98000000000002,121.39,128.5875,125.065,129.12857142857123,131.73973999999998,NaN,0,0,67086911,44247776.5,-2.0465402942415003,-1.8952573172212226,0.1512829770202776,1334398445,1481666863.8095238,NaN,NaN,42023617.615384616,54686886.26256846,29360348.968200773,67350154.9097523,16697080.321016934,67086911,3.4062941983767545,3.3651661530041075,3.8371019826687385,31.127636309492004,0,0,NaN,-12.65539173171438,NaN,NaN,NaN,NaN
1479738600,121.21,121.76,119.25,120.82,129.90500000000017,127.99276999999992,120.68832145922745,2213.35,127.25714285714267,129.2,131.435,123.71,128.8175,125.065,127.25714285714267,131.68093999999996,NaN,0,0,33167770,44322602.208333336,-2.1493542661165215,-2.5354098556253746,-0.3860555895088529,1301230675,1472553971.3809524,NaN,NaN,42379550.01923077,54517908.60420275,30241191.43425879,66656267.18917473,18102832.849286806,33167770,3.523112170037219,3.348062829944025,3.6475159851446337,31.09741676850068,0,0,NaN,-12.84714708216115,NaN,NaN,NaN,NaN
1480343400,121.41,122.4,117.64,119.6,128.1830000000002,127.91556999999993,120.65913695278968,2191.95,125.54428571428555,127.70500000000001,130.63,123.48,129.3625,125.105,125.54428571428555,131.60834,NaN,0,0,72284707,45521251.083333336,-2.1754613243203296,-3.105382244909265,-0.9299209205889353,1228945968,1457940602.952381,NaN,NaN,42736021.92307692,55461021.6503299,30011022.195823938,68186021.37758288,17286022.468570955,72284707,3.6595247171747602,3.376301573345145,3.8064422729811156,29.82916332187932,0,0,NaN,-11.747343565525394,NaN,NaN,NaN,NaN
1480948200,118.93,120.62,117.28,117.5,126.1820000000002,127.77986999999993,120.6268622746781,2259.53,123.2857142857141,125.605,130.45,125.62,130.47750000000002,126.22,123.2857142857141,131.52173999999997,NaN,0,0,60706535,46161958.916666664,-2.2033226277147993,-3.6840742052324345,-1.4807515775176352,1168239433,1442953923.4285715,NaN,NaN,43073166.01923077,56035365.57535491,30110966.463106625,68997565.13147905,17148766.906982478,60706535,3.808164043292652,3.3755755418782423,3.7398076625552426,27.732561901878327,0,0,NaN,-12.80148423005566,NaN,NaN,NaN,NaN
1481553000,117.27,119.21,116.8,117.14,124.5040000000002,127.61936999999995,120.59227,2258.07,121.38428571428554,125.27629999999999,130.21,124.4,130.47750000000002,126.475,121.38428571428554,131.45293999999998,NaN,0,0,65629024,45783636.541666664,-2.1147583694491927,-4.124199539329126,-2.0094411698799335,1102610409,1423071475.7619047,NaN,NaN,43363343.98076923,56654178.07407532,30072509.887463145,69945012.1673814,16781675.794157054,65629024,3.716140608536559,3.356264031040677,3.5498351393330645,27.377312378160795,0,0,NaN,-14.383862008478287,-14.383862008478287,-14.383862008478287,NaN,NaN
1482157800,117.98,118.58,117.38,118.05,123.15000000000018,127.45216999999995,120.553600472103,2263.79,119.42857142857125,125.17750000000001,130.21,126.35,132.525,128.105,119.42857142857125,131.34673999999998,NaN,0,0,32162960,45322706.166666664,-1.8719951142927482,-4.349435062745869,-2.4774399484531204,1134773369,1403096876.3809524,NaN,NaN,43528162.307692304,56624515.40736931,30431809.2080153,69720868.50704631,17335456.108338293,32162960,3.598406235888479,3.3179387504198634,3.248430119428341,29.824420159410906,0,0,NaN,-14.151698058323028,NaN,NaN,NaN,NaN
1482849000,117.42,119.65,117.23,119.13,121.73200000000017,127.26066999999995,120.51051034334763,2238.83,119.01285714285697,124.45500000000001,130.21,127.78,134.502525,129.505,119.01285714285697,131.21429999999998,NaN,0,0,32050446,44455349.666666664,-1.5301933078185161,-4.390181583226266,-2.8599882754077495,1166823815,1386468285.5714285,NaN,NaN,43591043.48076923,56624133.51183694,30557953.449701525,69657223.54290465,17524863.418633815,32050446,3.4949196307615535,3.2999799754114667,3.1300829595100064,32.72190717859901,1,0,NaN,-11.043906810035837,NaN,NaN,NaN,NaN
1483453800,118.41,122.03,118.18,120.86,120.77300000000017,127.15966999999995,120.47102536480686,2276.98,119.01428571428553,124.005,130.1325,125.12,135.1675,130.64,119.01428571428553,131.12469999999996,NaN,0,0,41552033,44637429.916666664,-1.0992647700136855,-4.234069237924857,-3.134804467911171,1208375848,1370287594,NaN,NaN,43514527.865384616,56547684.51115784,30481371.21961139,69580841.15693107,17448214.573838167,41552033,3.380216826367046,3.3109803759032372,3.2329282510085764,37.19527720364133,0,0,NaN,-8.154115054335438,NaN,NaN,NaN,NaN
1483972200,121.88,123.14,120.62,121.31,119.73000000000017,127.09086999999995,120.44025283261803,2274.64,119.08428571428556,119.97,129.24,122.72,135.35250000000002,130.81,119.08428571428556,131.0049,NaN,0,0,46457187,45152389.958333336,-0.7142444726272705,-4.0276100586952595,-3.313365586067989,1254833035,1357538901.6190476,NaN,NaN,43150903.884615384,55828259.371009886,30473548.39822088,68505614.85740438,17796192.911826383,46457187,3.258471565457467,3.295160768385173,3.1310813580073504,38.343668589031836,0,0,NaN,-9.001575275673243,NaN,NaN,NaN,NaN
1484663400,122.81,122.94,119.29,119.94,119.52000000000017,127.02486999999995,120.40814982832619,2271.31,119.13285714285698,119.97,129.24,123.33,135.6275,130.81,119.13285714285698,130.8293,NaN,0,0,45666798,45462850.958333336,-0.4927022116678126,-3.9292433506527544,-3.436541138984942,1209166237,1344388785.4761906,NaN,NaN,43118037.788461536,55786609.82077639,30449465.756146684,68455181.85309124,17780893.723831836,45666798,3.1895470561063997,3.3022575530174696,3.2052125925777277,36.174973098180025,0,0,NaN,-8.056726715216552,NaN,NaN,NaN,NaN
1485181800,120.34,121.87,118.325,119.63,119.39800000000017,126.92586999999996,120.38209832618026,2294.69,119.43714285714269,119.97,128.83,125.69,136.61,130.81,119.43714285714269,130.59189999999998,NaN,0,0,47654155,46109017.875,-0.3164687365951018,-3.832127059728819,-3.5156583231337173,1161512082,1327189998.047619,NaN,NaN,43204951.51923077,55888833.30906437,30521069.729397163,68572715.09889798,17837187.93956356,47654155,3.1906117623769132,3.3071124019571196,3.25375365078091,35.68316676853455,0,0,NaN,-9.192348565356014,NaN,NaN,NaN,NaN
1485786600,119.44,120.4,118.4743,119,119.21600000000016,126.88086999999996,120.37093948497855,2297.42,119.70285714285697,119.97,128.83,123.89,136.61,130.81,119.70285714285697,130.3518,NaN,0,0,48097692,47045805.208333336,-0.19757273687038435,-3.7626242442216977,-3.5650515073513134,1113414390,1309682443.4285715,NaN,NaN,43114297.82692308,55745933.049888626,30482662.603957538,68377568.27285416,17851027.380991995,48097692,3.177401510608783,3.279484153917977,3.0640317006693527,34.65211797045475,0,0,NaN,-2.490986561783027,NaN,NaN,NaN,NaN
